legacy_fallback,vi_fantasy
DEF SPD7 1L,Thủ tốc7 1L
DON,Thế thân
PHONGAN,Phong ấn
EXCAL,Excalibur
HOISINH100HP,Hồi sinh100HP
HSINH,Linh dược
PHEP+,Đại pháp
METEOR,Thiên thạch
CUNG,Thần cung
LUA,Cung Hỏa
MAKI,Ma kiếm
MURAMA,Muramasa
GIAM CX,Giảm chuẩn
NGOCME,Ngọc mê
CUOP THE VK,Cướp thẻ VK
DAO,Ngọc đạo
KIEMBAO,Kiếm Bão
ATK X2,Công x2
NHAN,Nhẫn lực
CHUAHP,Hồi ca
HUT 1/2 DMG,Hút nửa ST
GIAOMAU,Huyết thương
KHOA DO,Phong ấn đồ
DO 1 LAN,Đồ 1 lần
KHOADO,Ấn phong
DE CHI MANG,Dễ chí mạng
DOI THE,Đổi thẻ
GIA KIM,Giả kim
BENH,Y viện
HIEPSI,Hiệp sĩ đoàn
TUVIEN,Tu viện
TIEMVK,Tiệm VK
TUYET!!,Tuyệt!
KHU NAY CUA BAN,Lãnh địa của ngươi
GIATRI DAT TANG,Giá đất tăng!
DOI CHU DAT,Đổi chủ đất
HP0 TRA VIENPHI,HP0: viện phí
NHAN200 ZENNY,Nhận 200 Z
CO GI DAY?,Điềm gì đây?
DOI TOI DA2,Đổi tối đa 2
COHOI DOI THE VK,Cơ hội đổi VK
SE PHA,Sẽ phá
MA PHA SHOP KHU,Ma vương phá tiệm
PHA SHOP,Phá tiệm
XAY TU THAN,Dựng Tử thần
XAY DAM LAY,Dựng đầm nguyền
XAY XIEC,Dựng xiếc
XAY THDUONG,Dựng Thánh đường
XAY VUON,Dựng Vườn
XAY NU THAN,Dựng Nữ thần
XAY SUOI,Dựng Linh tuyền
XAY NGHIA,Dựng Nghĩa địa
XAY THAP,Dựng Ma tháp
XAY TA THAN,Dựng Tà thần
PHA BIEUTUONG,Phá thần tượng
DUNG THE NAY,Dùng thẻ này
CO THE THACHDAU,Được tỉ thí
DUNG THE DOI THU,Dùng lên địch
VO HIEU O DAT,Vô hiệu lãnh địa
VO HIEU O DB,Vô hiệu ô
NU THAN BANG,Nữ thần Băng
HON BANG,Nụ hôn Băng
THAN GIO DOI CHO,Thần Thời đổi chỗ
DOI CAC NGA RE,Đổi mọi ngã
