legacy_fallback,vi_fantasy
THE DAU,Thẻ đấu
QUYT,Quỵt nợ
HON BANG,Nụ hôn Băng
THAN GIO,Thần Thời
DOI DUONG,Đổi lộ
VO HIEU O DAT,Vô hiệu lãnh địa
1 LUOT RIENG BAN,Riêng 1 lượt
VO HIEU O DB,Vô hiệu ô đặc biệt
NU THAN BANG,Nữ thần Băng
THAN GIO DOI CHO,Thần Thời hoán vị
DOI CAC NGA RE,Đổi mọi ngã rẽ
XAY TU THAN,Dựng Tử thần
XAY DAM LAY,Dựng Đầm nguyền
XAY XIEC,Dựng Gánh xiếc
XAY THDUONG,Dựng Thánh đường
XAY NU THAN,Dựng Nữ thần
XAY SUOI,Dựng Linh tuyền
XAY NGHIA,Dựng Nghĩa địa
XAY THAP,Dựng Ma tháp
XAY TA THAN,Dựng Tà thần
