japanese,vi_full,vi_runtime_historical,status,note
/V%sさん/v,/V%s/v,%s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ /V, %s, /v đúng thứ tự; kính ngữ さん không cần tương đương trong tiếng Việt"
同じマスに止まってる人のお金を,Tiền của người đang đứng cùng ô...,Lấy vàng người cùng ô,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
シンボルを一つ壊せるよ,Có thể phá một Biểu tượng.,Phá 1 thần tượng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
ほかの人と同じマスに止まったよ,Bạn đã dừng cùng ô với người khác.,Dừng cùng ô người khác,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
土地を１つもらえるよ！！,Bạn sẽ nhận được một mảnh đất!!,Nhận 1 lãnh địa!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reward"
もらえるお金が倍になるよ！！,Số tiền nhận được sẽ tăng gấp đôi!!,Vàng nhận x2!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reward/effect"
そんな土地ないじゃない,Làm gì có mảnh đất như vậy.,Không có lãnh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
あっなんか,"Ơ, hình như...","Ơ, xem ra",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
多くもらっちゃった,...nhận được nhiều hơn rồi.,Nhận thêm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
お金が 持ち切れないみたい,Có vẻ không thể mang hết số tiền này.,Túi vàng đã đầy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
聖地に 預けておいたから,Phần dư đã được gửi ở Thánh Địa rồi.,Đã gửi Thánh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
聖地で 引き落としてね,Hãy rút ở Thánh Địa nhé.,Rút tại Thánh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
勝利者,Người Chiến Thắng,Kẻ thắng trận,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Result label"
退け,Lùi ra!,Lui!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
小賢しい,Khôn lỏi.,Xảo trá,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character insult"
