file,offset_hex,vi_accented,category,note
PRGPACK.BDP,0x674d0,Nhận,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x674e0,Đầy thẻ,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67504,Bỏ 1 thẻ,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67540,Mua đất,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x675dc,Trả %d Z,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x675f8,Nhận VK,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67610,Nhận SK,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x6762c,Hồi đầy,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67644,Ngăn đấu,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67664,Thách đấu,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x677e4,Mất %d Z,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67808,Hết tiền,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67818,Không sao,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67834,Chưa có đất,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67860,Nhận %d Z,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67878,Chưa có thuế,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67894,Xui quá,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67920,Đã đổi,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x6793c,Giữ nguyên,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67b4c,Đánh đất?,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67b6c,Phá?,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67b84,Chuộc?,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67b94,Bán gì?,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67bb4,Chọn khu?,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67bc8,Xây đâu?,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67c64,Chọn OK,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67c78,GT,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67c80,Phí,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67d50,Không có,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67d68,Xây %s,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67d78,Trả %d,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67d98,Thiếu tiền!,compact,Batch 4 compact runtime-safe candidate
PRGPACK.BDP,0x67db0,Thiếu %dZ,compact,Batch 4 compact runtime-safe candidate
