japanese,vi_fantasy
俺さまが遊んでやるぜ！,Ta sẽ đấu với ngươi!
悪いな%s,Thứ lỗi %s
%dゼニーもらってゆくぜ,Ta lấy %d Z
は～はっは 破壊じゃ 破壊じゃ,Ha ha! Phá hủy!
どれを 破壊してくれようぞ！！,Phá thứ nào đây?!
この シンボルは,Thần tượng này
ふっ,Hừ
カスが ,Đồ rác
ぐぬぅ～,Grr...
なんか 気がのらん,Ta chẳng hứng
墓地,Nghĩa địa
浴場,Nhà tắm
施設    %s,Cơ sở %s
所有者  %s,Chủ %s
通行税  %4d,Lộ %4d
価値    %4d,Giá %4d
買えません,Không mua được
します,Thực hiện
どこかにワープ,Biến ngẫu nhiên
たまったお金が,Tiền tích lũy
大不幸、不幸で,Do vận rủi
所得税、土地税,Thuế lợi tức/đất
らいます,Sẽ nhận
の２０％をしは,Nộp 20%
止まると所持金,Dừng: tiền
としてしはらい,Nộp thành
の２０％を税金,20% thành thuế
止まると土地代,Dừng: giá đất
わります,Thay đổi
ルートが切りか,Lộ đổi
１ターンごとに,Mỗi lượt
ます,Sẽ
を切りかえられ,Có thể đổi
止まるとルート,Dừng: lộ
が手に入ります,Sẽ nhận
てば武器カード,Thẻ VK
ームができ、勝,Chơi và thắng
止まるとミニゲ,Dừng: thử thách
盗賊の援助,Đạo tặc tương trợ
魔法使いの援助,Pháp sư tương trợ
大国の混乱,Đại quốc loạn
小領主の協力,Tiểu lãnh chúa trợ chiến
大領主の協力,Đại lãnh chúa trợ chiến
大国の援助,Đại quốc viện trợ
運の神の休息,Thần Vận nghỉ
温泉,Linh tuyền
