japanese,vi_full,vi_runtime_historical,status,note
防御　速度７　使い捨て,Phòng thủ / Tốc độ 7 / Dùng một lần,Thủ tốc7 1 lần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item attributes"
みがわり,Thế Thân,Thế thân,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item/effect name"
封いんされた魔法,Ma Pháp Bị Phong Ấn,Ma pháp phong ấn,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Magic/item name"
ダークメテオ,Thiên Thạch Hắc Ám,Ám thiên thạch,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Dark Meteor"
伝説の聖剣,Thánh Kiếm Huyền Thoại,Thánh kiếm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
エクスカリバー,Excalibur,Excalibur,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
死亡するとＨＰ１００で復活,Khi tử trận, hồi sinh với 100 HP.,Hồi sinh 100HP,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 100 HP"
復活の霊薬,Linh Dược Hồi Sinh,Linh dược hồi sinh,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item name"
最強の魔法,Phép Thuật Mạnh Nhất,Đại ma pháp,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Magic label"
メテオフォール,Mưa Thiên Thạch,Thiên thạch,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Meteor Fall"
最強の弓,Cây Cung Mạnh Nhất,Thần cung,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon label"
ほのおの弓,Cung Lửa,Cung Hỏa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
最強の魔剣,Ma Kiếm Mạnh Nhất,Ma kiếm tối thượng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon label"
魔剣ムラマサ,Ma Kiếm Muramasa,Muramasa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
あいての命中率を落とす,Giảm độ chính xác của đối thủ.,Giảm chuẩn địch,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item effect"
まどわしの玉,Ngọc Mê Hoặc,Ngọc mê hoặc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item name"
指定武器カード１枚を盗む,Trộm 1 Thẻ Vũ khí được chỉ định.,Cướp 1 thẻ VK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item effect"
盗賊のオーブ,Quả Cầu Đạo Tặc,Ngọc Đạo tặc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item name"
アースクエイク,Động Đất,Động đất,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Earthquake"
ストームソード,Kiếm Bão,Kiếm Bão,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Storm Sword"
攻撃力を２倍にアップさせる,Tăng sức tấn công lên gấp đôi.,Công lực x2,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ hệ số x2"
力の指輪,Nhẫn Sức Mạnh,Nhẫn Sức mạnh,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item name"
ＨＰを６０回復する,Hồi 60 HP.,Hồi 60HP,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 60 HP"
いやしのうた,Khúc Ca Hồi Phục,Khúc Hồi sinh,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Healing song"
フェザーレイ,Feather Ray,Feather Ray,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Skill name"
ダメージの１／２を奪う,Hút một nửa sát thương.,Hút nửa sát thương,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 1/2"
ブラッドスピア,Huyết Thương,Huyết thương,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Blood Spear"
アイテムを使えなくする,Vô hiệu hóa việc sử dụng vật phẩm.,Phong ấn vật phẩm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item effect"
使い捨てアイテム,Vật Phẩm Dùng Một Lần,Vật phẩm 1 lần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item class"
アイテム封じ,Phong Ấn Vật Phẩm,Ấn phong vật phẩm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect name"
クリティカルがでやすい,Dễ tung đòn chí mạng hơn.,Dễ chí mạng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item effect"
スノーストーム,Bão Tuyết,Bão Tuyết,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Snow Storm"
速度が速い,Tốc độ cao.,Tốc độ cao,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Attribute"
せつなの剣,Kiếm Setsuna,Kiếm Chớp,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ Setsuna như tên riêng"
ダメージを１／２にへらす,Giảm sát thương còn một nửa.,Giảm nửa sát thương,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ tỷ lệ 1/2"
使い捨て防御アイテム,Vật Phẩm Phòng Thủ Dùng Một Lần,Đồ thủ 1 lần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item class"
