file,offset_hex,japanese,vi_full,vi_game_current,status,note
SLPS_020.75,0x177c,使い捨て回復アイテム,Vật phẩm hồi phục dùng một lần,HOI 1 LAN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x17b0,ファイアボール,Cầu Lửa,CAULUA,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x17f0,エストック,Estoc,ESTOC,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1818,ジプシータロウ,Gypsy Taro,GYPSY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1828,バトルアックス,Rìu Chiến,RIUCHIEN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1838,レイピア,Rapier,RAPIER,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x18a4,ジャンビーヤ,Jambiya,JAMBIYA,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x18cc,クレイモア,Claymore,CLAYM,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x18f0,ボーイナイフ,Dao Bowie,BOWIE,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1900,基本武器,Vũ Khí Cơ Bản,VKCB,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x190c,ダメージ,Sát Thương,DMG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1918,武器破壊,Phá Vũ Khí,PHAVK,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x195c,Ｌ/V%d（あと/V%d）,Cấp /V%d (còn /V%d),LV%d CON%d,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1970,ランダム武器破壊,Phá Ngẫu Nhiên Một Vũ Khí,PHA VK NGAU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1984,指定武器破壊,Phá Vũ Khí Chỉ Định,PHA VK,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1994,指定武器取得,Lấy Vũ Khí Chỉ Định,LAY VK,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x1a48,ボーイナイフ,Dao Bowie,BOWIE,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2014,大不幸,Đại Bất Hạnh,DAI XUI,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x2028,不幸,Bất Hạnh,XUI,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x203c,幸運,May Mắn,MAY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
