japanese,vi_fantasy
「バトルカード」,Thẻ đấu
「ふみたおし」,Quỵt nợ
「氷の女神のくちづけ」,Nụ hôn Băng
「時の神のいたずら」,Trò Thần Thời
「ルート変更」,Đổi lộ
土地マスを無効にできるよ,Vô hiệu lãnh địa
１ターンのあいだ自分の番だけ、,"Riêng 1 lượt,"
特殊マスが効かなくなっちゃう,Vô hiệu ô đặc biệt
氷の女神のくちづけでしばらく,Nữ thần Băng nguyền
いたずら好きの時の神がみんなの場所,Thần Thời hoán vị
全ての分岐マスを切りかえて、,"Đổi mọi ngã rẽ,"
死神のシンボルを建てると、,Dựng tượng Tử thần
沼のシンボルを建てれば、,Dựng Đầm nguyền
サーカスのシンボルを建てると、,Dựng Gánh xiếc
大聖堂のシンボルを建てると、,Dựng Thánh đường
女神のシンボルを建てると、,Dựng tượng Nữ thần
温泉のシンボルを建てると、,Dựng Linh tuyền
はかばのシンボルを建てると、,Dựng Nghĩa địa
塔のシンボルを建てると、,Dựng Ma tháp
邪神のシンボルを建てると、,Dựng tượng Tà thần
