japanese,vi_full,vi_runtime_historical,status,note
「%s」と,“%s” và...,%s và,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ %s"
「%s」を,“%s”...,%s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ %s"
手に入れたよ,Đã nhận được.,Đã nhận,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
ルートを切りかえるね,Tôi sẽ đổi tuyến đường nhé.,Đổi lộ nhé,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
価値,Giá Trị,Giá trị,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
通行税,Phí Qua Đường,Lộ phí,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI/gameplay term"
金斗雲,Cân Đẩu Vân,Cân Đẩu Vân,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Tên riêng"
(速い者順),(Theo thứ tự nhanh trước),(Nhanh trước),SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Turn/order note"
ベントカードが,...Thẻ Sự kiện...,Thẻ SK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field bắt đầu giữa từ イベントカード"
武器カード、イ,Thẻ Vũ khí, Thẻ Sự...,VK/SK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field kết thúc ở イ mở đầu イベント"
通過するとお金,Khi đi qua, tiền...,Qua: nhận tiền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
もらえます,...sẽ nhận được.,Sẽ nhận,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
トカードが１枚,...1 Thẻ Sự kiện.,1 thẻ SK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field bắt đầu giữa イベントカード"
止まるとイベン,Khi dừng, Sự kiệ...,Dừng: SK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field kết thúc giữa từ イベント"
できます,...có thể thực hiện.,Có thể,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
しかけることが,...có thể khơi mào...,Có thể mở,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
あいてに戦闘を,Trận chiến với đối thủ...,Đấu địch thủ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
止まると好きな,Khi dừng, tùy ý...,Dừng: chọn,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
所有者なし,Không Có Chủ Sở Hữu,Vô chủ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Property state"
プール金%5d,Quỹ Chung %5d,Quỹ %5d,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %5d"
通行税 %4d,Phí Qua Đường %4d,Lộ %4d,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %4d"
通行税 %+3d％,Phí Qua Đường %+3d%,Lộ %+3d%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %+3d"
%sのラッキー！！,%s gặp may!!,%s may!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
「１進む」,“Tiến 1 Ô”,Tiến 1,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「２進む」,“Tiến 2 Ô”,Tiến 2,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「３進む」,“Tiến 3 Ô”,Tiến 3,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「４進む」,“Tiến 4 Ô”,Tiến 4,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「５進む」,“Tiến 5 Ô”,Tiến 5,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「６進む」,“Tiến 6 Ô”,Tiến 6,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「ダイス３つ」,“3 Xúc Xắc”,3 xúc xắc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「ダイス４つ」,“4 Xúc Xắc”,4 xúc xắc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「地震」,“Động Đất”,Động đất,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「バトルカード」,“Thẻ Chiến Đấu”,Thẻ đấu,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「ふみたおし」,“Quỵt Phí”,Quỵt nợ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「ルート変更」,“Đổi Tuyến Đường”,Đổi lộ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
エストック,Estoc,Estoc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
ジプシータロウ,Gypsy Taro,Gypsy Taro,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Name/item"
レイピア,Rapier,Rapier,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
ジャンビーヤ,Jambiya,Jambiya,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
クレイモア,Claymore,Claymore,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
ボーイナイフ,Bowie Knife,Dao Bowie,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon name"
ヤスツナ,Yasutsuna,Yasutsuna,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character name"
ガラハッド,Galahad,Galahad,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character name"
ティアラ,Tiara,Tiara,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character name"
ゴライアス,Goliath,Goliath,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character name"
メグメグ,Megu Megu,Megumegu,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character name"
アガート,Agate,Agate,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character name per historical note"
シンバッド,Sinbad,Sinbad,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character name"
やるね,Khá đấy.,Khá đấy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Tavern reaction"
なかなかやるね,Khá lắm đấy.,Khá lắm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Tavern reaction"
カード交換,Đổi Thẻ,Đổi thẻ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event/card"
お店破壊,Phá Hủy Cửa Hàng,Phá tiệm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event/card"
ＧＯマス,Ô GO,Ô GO,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Board square"
戦闘マスね,Đây là ô Chiến Đấu.,Ô chiến,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Board square dialogue"
