japanese,vi_full,vi_runtime_historical,status,note
俺さまが遊んでやるぜ！,Ta sẽ chơi với ngươi!,Ta sẽ đấu với ngươi!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
悪いな%s,"Xin lỗi nhé, %s.",Thứ lỗi %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
%dゼニーもらってゆくぜ,Ta lấy %d Zenny nhé.,Ta lấy %d Z,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %d"
は～はっは 破壊じゃ 破壊じゃ,Ha ha ha! Phá hủy! Phá hủy!,Ha ha! Phá hủy!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
どれを 破壊してくれようぞ！！,Ta phá cái nào đây!!,Phá thứ nào đây?!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
この シンボルは,Biểu tượng này...,Thần tượng này,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
ふっ,Hừ.,Hừ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reaction"
カスが ,Đồ cặn bã.,Đồ rác,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Insult"
ぐぬぅ～,Grrr～,Grr...,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reaction"
なんか 気がのらん,Ta chẳng có hứng.,Ta chẳng hứng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
墓地,Nghĩa Địa,Nghĩa địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Facility"
浴場,Nhà Tắm,Nhà tắm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Facility"
施設    %s,Công trình    %s,Cơ sở %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
所有者  %s,Chủ sở hữu  %s,Chủ %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
通行税  %4d,Phí qua đường  %4d,Lộ %4d,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %4d"
価値    %4d,Giá trị    %4d,Giá %4d,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %4d"
買えません,Không thể mua.,Không mua được,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI"
します,Thực hiện.,Thực hiện,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh/lệnh chung"
どこかにワープ,Dịch chuyển đến một nơi nào đó.,Biến ngẫu nhiên,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Warp effect"
たまったお金が,Số tiền đã tích lũy...,Tiền tích lũy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
大不幸、不幸で,Khi gặp Đại Bất Hạnh hoặc Bất Hạnh...,Do vận rủi,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
所得税、土地税,"Thuế Thu Nhập, Thuế Đất",Thuế lợi tức/đất,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
らいます,...sẽ nhận.,Sẽ nhận,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field bị cắt đầu từ もらいます"
の２０％をしは,...phải trả 20% của...,Nộp 20%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field bị cắt giữa 支払います"
止まると所持金,Khi dừng lại, số tiền đang có...,Dừng: tiền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
としてしはらい,...trả dưới dạng...,Nộp thành,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
の２０％を税金,...20% làm thuế...,20% thành thuế,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
止まると土地代,Khi dừng lại, giá đất...,Dừng: giá đất,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
わります,...sẽ thay đổi.,Thay đổi,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field bị cắt đầu"
ルートが切りか,Tuyến đường sẽ được chuyển...,Lộ đổi,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field bị cắt cuối"
１ターンごとに,Mỗi lượt...,Mỗi lượt,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
ます,...sẽ.,Sẽ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Đuôi câu bị tách riêng"
を切りかえられ,...có thể chuyển đổi...,Có thể đổi,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
止まるとルート,Khi dừng lại, tuyến đường...,Dừng: lộ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
が手に入ります,...sẽ nhận được.,Sẽ nhận,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
てば武器カード,...nếu thắng, Thẻ Vũ khí...,Thẻ VK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field bắt đầu giữa 勝てば"
ームができ、勝,...có thể chơi mini-game, và nếu thắng...,Chơi và thắng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field bắt đầu giữa ミニゲーム"
止まるとミニゲ,Khi dừng lại, mini-ga...,Dừng: thử thách,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Field kết thúc giữa ミニゲーム"
盗賊の援助,Sự Trợ Giúp của Đạo Tặc,Đạo tặc tương trợ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
魔法使いの援助,Sự Trợ Giúp của Pháp Sư,Pháp sư tương trợ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
大国の混乱,Hỗn Loạn ở Đại Quốc,Đại quốc loạn,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
小領主の協力,Sự Hỗ Trợ của Tiểu Lãnh Chúa,Tiểu lãnh chúa trợ chiến,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
大領主の協力,Sự Hỗ Trợ của Đại Lãnh Chúa,Đại lãnh chúa trợ chiến,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
大国の援助,Viện Trợ từ Đại Quốc,Đại quốc viện trợ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
