file,offset_hex,japanese,vi_source_previous,vi_full_reviewed,status,note
SLPS_020.75,0x2d40,３マス進めるよ,Tiến 3 ô,Bạn có thể tiến 3 ô.,SOURCE_REVIEWED,"Mô tả card"
SLPS_020.75,0x2d50,「３進む」,Tiến 3,“Tiến 3 Ô”,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2d5c,２マス進めるよ,Tiến 2 ô,Bạn có thể tiến 2 ô.,SOURCE_REVIEWED,"Mô tả card"
SLPS_020.75,0x2d6c,「２進む」,Tiến 2,“Tiến 2 Ô”,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2d78,１マス進めるよ,Tiến 1 ô,Bạn có thể tiến 1 ô.,SOURCE_REVIEWED,"Mô tả card"
SLPS_020.75,0x2d88,使うとダイスをふるかわりに,Dùng thay cho việc gieo xúc xắc,"Khi dùng, thay vì gieo xúc xắc...",SOURCE_REVIEWED_FRAGMENT,"Nguồn là mảnh câu; giữ mở để nối hiệu ứng kế tiếp"
SLPS_020.75,0x2da4,「１進む」,Tiến 1,“Tiến 1 Ô”,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2db0,ダイスの数が４つになるよ,Số xúc xắc tăng thành 4,Bạn sẽ có 4 xúc xắc.,SOURCE_REVIEWED,"Mô tả hiệu ứng"
SLPS_020.75,0x2dcc,超特急ーーー！,Siêu tốc!,Siêu tốcーーー!,SOURCE_REVIEWED,"Giữ sắc thái kéo dài của nguồn"
SLPS_020.75,0x2ddc,「ダイス４つ」,4 xúc xắc,“4 Xúc Xắc”,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2dec,ダイスの数が３つになるよ,Số xúc xắc tăng thành 3,Bạn sẽ có 3 xúc xắc.,SOURCE_REVIEWED,"Mô tả hiệu ứng"
SLPS_020.75,0x2e08,スピードアップ！,Tăng tốc!,Tăng tốc!,SOURCE_REVIEWED,"Thông báo hiệu ứng"
SLPS_020.75,0x2e1c,「ダイス３つ」,3 xúc xắc,“3 Xúc Xắc”,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2e2c,まわりの通行税が３０％下がるよ！,Phí qua đường xung quanh giảm 30%!,Phí qua đường xung quanh giảm 30%!,SOURCE_REVIEWED,"Giữ tỷ lệ 30%"
SLPS_020.75,0x2e50,死神のシンボルを建てると、,Xây biểu tượng Tử thần sẽ,"Khi dựng biểu tượng Tử Thần,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x2e84,１０％、まわりの通行税ダウン！,Giảm phí xung quanh 10%!,Phí qua đường xung quanh giảm 10%!,SOURCE_REVIEWED,"Giữ tỷ lệ 10%"
SLPS_020.75,0x2ea4,沼のシンボルを建てれば、,Xây biểu tượng đầm lầy sẽ,"Nếu dựng biểu tượng Đầm Lầy,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x2edc,まわりの通行税が２倍になるよ！,Phí xung quanh tăng gấp đôi!,Phí qua đường xung quanh tăng gấp đôi!,SOURCE_REVIEWED,"Giữ hệ số x2"
SLPS_020.75,0x2efc,サーカスのシンボルを建てると、,Xây biểu tượng rạp xiếc sẽ,"Khi dựng biểu tượng Rạp Xiếc,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x2f38,まわりの通行税が３倍になるよ！,Phí xung quanh tăng gấp ba!,Phí qua đường xung quanh tăng gấp ba!,SOURCE_REVIEWED,"Giữ hệ số x3"
SLPS_020.75,0x2f58,大聖堂のシンボルを建てると、,Xây biểu tượng đại thánh đường sẽ,"Khi dựng biểu tượng Đại Thánh Đường,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x2f90,まわりの通行税が７０％上がるよ！,Phí xung quanh tăng 70%!,Phí qua đường xung quanh tăng 70%!,SOURCE_REVIEWED,"Giữ tỷ lệ 70%"
SLPS_020.75,0x2fb4,庭園のシンボルを建てると、,Xây biểu tượng vườn sẽ,"Khi dựng biểu tượng Vườn,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x2fe8,まわりの通行税が５０％上がるよ！,Phí xung quanh tăng 50%!,Phí qua đường xung quanh tăng 50%!,SOURCE_REVIEWED,"Giữ tỷ lệ 50%"
SLPS_020.75,0x300c,女神のシンボルを建てると、,Xây biểu tượng Nữ thần sẽ,"Khi dựng biểu tượng Nữ Thần,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x3040,まわりの通行税が３０％上がるよ！,Phí xung quanh tăng 30%!,Phí qua đường xung quanh tăng 30%!,SOURCE_REVIEWED,"Giữ tỷ lệ 30%"
SLPS_020.75,0x3064,温泉のシンボルを建てると、,Xây biểu tượng suối nóng sẽ,"Khi dựng biểu tượng Suối Nước Nóng,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x3098,まわりの通行税が５０％下がるよ！,Phí xung quanh giảm 50%!,Phí qua đường xung quanh giảm 50%!,SOURCE_REVIEWED,"Giữ tỷ lệ 50%"
SLPS_020.75,0x30bc,はかばのシンボルを建てると、,Xây biểu tượng nghĩa địa sẽ,"Khi dựng biểu tượng Nghĩa Địa,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x30f4,まわりの通行税が７０％下がるよ！,Phí xung quanh giảm 70%!,Phí qua đường xung quanh giảm 70%!,SOURCE_REVIEWED,"Giữ tỷ lệ 70%"
SLPS_020.75,0x3118,塔のシンボルを建てると、,Xây biểu tượng tháp sẽ,"Khi dựng biểu tượng Tháp,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x3150,まわりの通行税が９０％下がるよ！,Phí xung quanh giảm 90%!,Phí qua đường xung quanh giảm 90%!,SOURCE_REVIEWED,"Giữ tỷ lệ 90%"
SLPS_020.75,0x3174,邪神のシンボルを建てると、,Xây biểu tượng Tà thần sẽ,"Khi dựng biểu tượng Tà Thần,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu điều kiện"
SLPS_020.75,0x31a8,邪魔なシンボルを壊せるよ！,Có thể phá biểu tượng cản trở!,Bạn có thể phá một biểu tượng cản đường!,SOURCE_REVIEWED,"Mô tả hiệu ứng"
SLPS_020.75,0x31c4,このカードを使うと、,Dùng thẻ này sẽ,"Khi dùng lá bài này,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu mở đầu"
SLPS_020.75,0x31dc,「地震」,Động đất,“Động Đất”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x31e8,戦闘をしかけることができるよ！,Có thể chủ động khiêu chiến!,Bạn có thể chủ động khiêu chiến!,SOURCE_REVIEWED,"Mô tả hiệu ứng"
