legacy_fallback,vi_fantasy
「%s」VA,%s và
「%s」,%s
DA NHAN,Đã nhận
GIATRI,Giá trị
PHI QD,Lộ phí
CAN DAU VAN,Cân Đẩu Vân
NHANH TRUOC,Nhanh trước
THE SK,Thẻ SK
THE VK/SK,VK/SK
QUA: NHAN TIEN,Qua: nhận tiền
SE NHAN,Sẽ nhận
1 THE SK,1 thẻ SK
DUNG: SU KIEN,Dừng: SK
CO THE,Có thể
CO THE MO,Có thể mở
DAU DOI THU,Đấu địch
DUNG: TUY CHON,Dừng: chọn
VO CHU,Vô chủ
QUY %5d,Quỹ %5d
PHI %4d,Lộ %4d
PHI %+3d%,Lộ %+3d%
%s MAY MAN!!,%s may!
TIEN1,Tiến1
TIEN2,Tiến2
TIEN3,Tiến3
TIEN4,Tiến4
TIEN5,Tiến5
TIEN6,Tiến6
3 XUCXAC,3 xúc xắc
4 XUCXAC,4 xúc xắc
DONGDAT,Động đất
THE DAU,Thẻ đấu
QUYT,Quỵt nợ
DOI DUONG,Đổi lộ
ESTOC,Estoc
GYPSY,Gypsy Taro
RAPIER,Rapier
JAMBIYA,Jambiya
CLAYM,Claymore
BOWIE,Dao Bowie
YASU,Yasutsuna
GALAH,Galahad
TIARA,Tiara
GOLIA,Goliath
MEGUMEGU,Megumegu
AGATE,Agate
SINBAD,Sinbad
KHA DAY,Khá đấy
KHA LAM,Khá lắm
O GO,Ô GO
CHIEN,Ô chiến
QUAN,Ô quán
THUE THU NHAP,Thuế lợi tức
O THUE DAT!,Ô thuế đất!
O THANH DIA,Ô Thánh địa!
NHAN THUE GOM,Nhận quân thuế
DI DAU DAY?,Đi đâu đây?
XONG!,Tới lượt!
