legacy_fallback,vi_fantasy
LAY TIEN CUNG O,Lấy vàng cùng ô
TRUNG O NGUOI,Chung ô người khác
PHA 1 BIEUTUONG,Phá 1 thần tượng
NHAN 1 DAT!!,Nhận 1 lãnh địa!
TIEN NHAN X2!!,Vàng nhận x2!
KHONG CO DAT,Không có lãnh địa
HINH NHU,"Ơ, xem ra"
NHAN NHIEU HON,Nhận thêm
TIEN QUA NHIEU,Túi vàng đầy
GUI O THANH DIA,Gửi Thánh địa
RUT O THANH DIA,Rút Thánh địa
THANG,Kẻ thắng trận
LUI RA,Lui!
LAU CA,Xảo trá
DAI XUI,Đại bất hạnh
DAI MAY,Đại vận may
SO MA,Ma uy
MA NGHICH,Ma biến
CAM DO,Ma dụ
THAN GIO,Thần Thời
THAN MAY,Thần Vận
