japanese,vi_full,vi_runtime_historical,status,note
このカードを使うと、,"Khi dùng lá bài này,","Dùng thẻ này,",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
戦闘をしかけることができるよ！,Bạn có thể thách đấu!,Được tỉ thí!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Câu kết hiệu ứng"
１ターンのあいだ自分の番だけ、,"Trong 1 lượt, chỉ trong lượt của mình,","Riêng 1 lượt,",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
を入れかえちゃう,...sẽ hoán đổi vị trí.,Hoán đổi chỗ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu bị tách đầu"
全ての分岐マスを切りかえて、,"Chuyển tất cả các ô ngã rẽ,","Đổi mọi ngã rẽ,",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
この土地を買うよ,Mua mảnh đất này.,Mua lãnh địa này,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
かいしめ,Thâu tóm,Thâu tóm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay command"
通行税%dゼニーはらってね,Hãy trả %d Zenny phí qua đường.,Nộp %d Z lộ phí,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %d"
武器カードをもらえるよ,Bạn sẽ nhận được một Thẻ Vũ khí.,Nhận 1 thẻ VK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay reward"
イベントカードをもらえるよ,Bạn sẽ nhận được một Thẻ Sự kiện.,Nhận 1 thẻ SK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay reward"
体力が完全回復したよ,HP đã hồi phục hoàn toàn.,HP hồi đầy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Recovery"
修道会が戦いを止めてくれたよ,Hội Tu Sĩ đã ngăn trận chiến.,Tu viện ngăn chiến,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
戦いをしかけることができるよ,Có thể thách đấu.,Có thể tỉ thí,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
%dゼニーもとられちゃった,Bị lấy mất %d Zenny.,Mất %d Z,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %d"
所得税,Thuế Thu Nhập,Thuế lợi tức,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Tax"
お金がないから,Vì không có tiền...,Cạn tiền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
関係なかったみたい,Có vẻ không bị ảnh hưởng.,Không ảnh hưởng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
土地税,Thuế Đất,Thuế đất,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Tax"
土地を一つも持ってないから,Vì chưa sở hữu mảnh đất nào...,Chưa có lãnh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
プール金取得,Nhận Quỹ Chung,Nhận quân quỹ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay event"
%dゼニーもらっちゃった,Nhận được %d Zenny.,Nhận %d Z,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %d"
税金たまってないじゃない,Chưa tích lũy đồng thuế nào cả.,Chưa có thuế,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
タイミング悪すぎぃ,Xui đúng lúc quá...,Vận rủi thật,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character reaction"
あーあ,Chán thật...,Chán thật,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reaction"
あーあぁ,Chán thật mà...,Chán thật,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reaction variant"
分岐マスだよ,Đây là ô Ngã Rẽ.,Ô ngã rẽ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Board square"
ルートを切りかえる？,Đổi tuyến đường chứ?,Đổi lộ?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
ルートを切りかえたよ,Đã đổi tuyến đường.,Đã đổi lộ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
このままにしとくわよ,Cứ giữ nguyên như vậy nhé.,Giữ lộ cũ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
そんな土地ないじゃない,Làm gì có mảnh đất như vậy.,Không có đất ấy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
%sを建てたよ,Đã xây %s.,Dựng %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
%dゼニーはらってね,Hãy trả %d Zenny.,Nộp %d Z,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %d"
お金たりないじゃない！,Không đủ tiền rồi!,Cạn tiền!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
不足金額： %dゼニー,Số tiền còn thiếu: %d Zenny.,Thiếu %d Z,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %d"
%sさんの資産とカードが,Tài sản và thẻ của %s... ,Gia sản %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ token %s"
