file,offset_hex,japanese,vi_full,vi_game_current,status,note
PRGPACK.BDP,0x434,酒場へようこそ,Chào mừng đến quán rượu.,QUAN!,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0x444,ちょうどタイクツしてたんだ,Đúng lúc tôi đang buồn chán đây.,DANG CHAN QUA,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0x460,わたしと一勝負してかないかい,"Trước khi đi, làm một ván với tôi chứ?",DAU TOI 1 VAN?,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0x480,今からふるダイスの目がこのダイス,Hãy đoán xem mặt xúc xắc sắp gieo so với mặt xúc xắc này...,DOAN XUC XAC NAY,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0x4a4,より大きいかちいさいか当てるんだよ,...sẽ lớn hơn hay nhỏ hơn nhé.,LON HAY NHO HON?,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0x4c8,最初の賞品はこいつさ,Phần thưởng đầu tiên là thứ này.,THUONG DAU,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0x4e0,なんだい、もう終わりかい,"Sao thế, nghỉ luôn rồi à?",NGHI ROI?,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0x4fc,…つまんないね,…Chán thật đấy.,...CHAN,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0x510,やるね,Khá lắm!,KHA DAY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x518,もう勝負は終わりだよ,Ván đấu kết thúc rồi.,DAU XONG,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
