file,offset_hex,japanese,vi_full,vi_game_current,status,note
PRGPACK.BDP,0x68e18,ベントカードが,…thẻ sự kiện…,THE SK,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68e28,武器カード、イ,"Thẻ vũ khí, sự kiện…",THE VK/SK,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68e38,通過するとお金,"Khi đi qua, tiền…",QUA: NHAN TIEN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68e4c,もらえます,sẽ nhận được,SE NHAN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68e58,トカードが１枚,…1 thẻ…,1 THE SK,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68e68,止まるとイベン,"Khi dừng lại, sự kiện…",DUNG: SU KIEN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68e78,できます,có thể…,CO THE,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68e84,しかけることが,có thể phát động…,CO THE MO,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68e94,あいてに戦闘を,chiến đấu với đối thủ…,DAU DOI THU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68ea4,止まると好きな,"Khi dừng lại, tùy ý…",DUNG: TUY CHON,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68eb8,所有者なし,Không có chủ,VO CHU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68ec4,プール金%5d,Quân quỹ %5d,QUY %5d,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68edc,通行税 %4d,Lộ phí %4d,PHI %4d,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x68ee8,通行税 %+3d％,Lộ phí %+3d%,PHI %+3d%,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0x962c0,%sのラッキー！！,%s gặp may!!,%s MAY MAN!!,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0xb9048,%dゼニーはらってね,Hãy trả %d Zenny nhé,TRA %d ZENNY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
PRGPACK.BDP,0xbfbec,この設定でいいかしら？,Thiết lập này ổn chứ?,XAC NHAN?,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0xbfd2c,キャラクターをえらんでね,Hãy chọn nhân vật.,CHON NHANVAT,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0xbfe4c,○ボタンをおしてね！,Hãy nhấn nút ○!,NHAN NUT O,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0xddd68,ゲームをはじめるよ,Bắt đầu trò chơi nhé!,BAT DAU!,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0xddd7c,データがないわよ,Không có dữ liệu.,KO DATA,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
PRGPACK.BDP,0xde110,ＳＬＯＴをえらんでね,Hãy chọn SLOT.,CHON SLOT,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x938,%dゼニーあげるね,Tặng bạn %d Zenny nhé.,+%d ZENNY,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x94c,ＧＯマス,Ô GO,O GO,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x958,体力が５０回復したよ！,HP đã hồi 50!,HOI 50HP!,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x970,%sに止まったよ,Bạn đã dừng ở %s.,DUNG %s,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x980,%sの土地に,Trên lãnh địa của %s...,DAT %s,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x98c,止まっちゃったよ,...bạn dừng lại mất rồi!,DA DUNG!,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x9a0,戦闘マスね,Đây là ô Chiến đấu.,CHIEN,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x9ac,土地をかけて戦うことができるよ,Bạn có thể chiến đấu để tranh giành lãnh địa.,CHIEN LAY DAT,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x9cc,酒場マスだよ,Đây là ô Quán rượu.,QUAN,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x9dc,武器カードが手に入るわ,Bạn sẽ nhận được một Thẻ Vũ khí.,NHAN THE VK,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x9f4,所得税マスにとまっちゃった！,Bạn dừng trúng ô Thuế thu nhập!,THUE THU NHAP,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
