legacy_fallback,vi_fantasy
BAN,Bán
THECHAP,Thế chấp
TANG X4!,Tăng x4!
PHI QD,Lộ phí
THE VK,Thẻ VK
THE SK,Thẻ SK
KHI BAN DUNG,Khi ngươi dừng
CO THE!,Có thể!
TRANH CHIEN,Tránh giao chiến
NEU XAY DAT,Nếu dựng đất
THACH DAU,Tỉ thí
GIAM HP DICH,Giảm HP địch
NHE!,sẽ ban!
HOI HP,Hồi HP
DUNG/DI QUA,Dừng/đi qua
HUY,Hủy
GIA,Giá
SHOP,Tiệm
VON,Ngân quỹ
CHON SHOP?,Chọn tiệm?
TEN DAT,Tên lãnh địa
CHON DAT?,Chọn lãnh địa?
TONG TIEN,Tổng vàng
TAISAN,Gia sản
BAN TS NAO?,Bán gia sản?
TIEN THIEU,Vàng thiếu
DANH DAT NAO?,Đánh lãnh địa?
BIEUTUONG,Thần tượng
PHA CAI NAO?,Phá thứ nào?
CHUOC DAU?,Chuộc nơi nào?
TEN KHU,Tên lãnh địa
CHON KHU?,Chọn lãnh địa?
XAY O DAU?,Dựng ở đâu?
KHU %s,Lãnh địa %s
KHU %s%s,Lãnh địa %s%s
CHON OK,Chọn OK
PHI GIAM30%,Lộ phí -30%
PHI GIAM10%,Lộ phí -10%
PHI X2,Lộ phí x2
PHI X3,Lộ phí x3
PHI TANG70%,Lộ phí +70%
PHI TANG50%,Lộ phí +50%
PHI TANG30%,Lộ phí +30%
PHI GIAM50%,Lộ phí -50%
PHI GIAM70%,Lộ phí -70%
PHI GIAM90%,Lộ phí -90%
