japanese,vi_fantasy
売却,Bán
抵当,Thế chấp
４倍にするよ！,Tăng x4!
通行税を,Lộ phí
武器カードを,Thẻ VK
イベントカードを,Thẻ SK
自分が止まると,Khi ngươi dừng
ことがあるよ！,Có thể xảy ra!
戦いをさけられる,Tránh được chiến
建てれば、その土地の,"Nếu dựng, lãnh địa"
ことができるよ！,Có thể thực hiện!
して戦闘をしかける,rồi phát động tỉ thí
あいての体力をひくく,Giảm HP địch thủ
くれるよ！,sẽ ban cho!
すると体力を回復して,sẽ hồi HP
自分が止まるか、通過,Khi dừng hoặc đi qua
やめる,Hủy
価格,Giá
お店,Tiệm
資金,Ngân quỹ
どのお店にする？,Chọn tiệm nào?
土地名,Tên lãnh địa
どの土地にする？,Chọn lãnh địa?
合計金額,Tổng vàng
物件,Gia sản
どの物件を売るの？,Bán gia sản nào?
不足金額,Số vàng thiếu
どの土地をせめる？,Đánh lãnh địa nào?
シンボル,Thần tượng
どれを壊すの？,Phá thứ nào?
抵当額,Tiền thế chấp
どこを戻すの？,Chuộc nơi nào?
どの物件を売る？,Bán gia sản nào?
エリア名,Tên lãnh địa
どのエリアにする？,Chọn lãnh địa?
どこに建てる？,Dựng ở đâu?
%sエリア,Lãnh địa %s
%sエリア%s,Lãnh địa %s %s
ＯＫをえらんでね,Chọn OK
まわりの通行税が３０％下がるよ！,Lộ phí quanh -30%
１０％、まわりの通行税ダウン！,Lộ phí quanh -10%
まわりの通行税が２倍になるよ！,Lộ phí quanh x2
まわりの通行税が３倍になるよ！,Lộ phí quanh x3
まわりの通行税が７０％上がるよ！,Lộ phí quanh +70%
まわりの通行税が５０％上がるよ！,Lộ phí quanh +50%
まわりの通行税が３０％上がるよ！,Lộ phí quanh +30%
まわりの通行税が５０％下がるよ！,Lộ phí quanh -50%
まわりの通行税が７０％下がるよ！,Lộ phí quanh -70%
まわりの通行税が９０％下がるよ！,Lộ phí quanh -90%
ルートを変えてあげる,Đổi lộ cho ngươi
