japanese,vi_fantasy
同じマスに止まってる人のお金を,Lấy vàng người cùng ô
ほかの人と同じマスに止まったよ,Dừng cùng ô người khác
シンボルを一つ壊せるよ,Phá 1 thần tượng
土地を１つもらえるよ！！,Nhận 1 lãnh địa!
もらえるお金が倍になるよ！！,Vàng nhận x2!
そんな土地ないじゃない,Không có lãnh địa
あっなんか,"Ơ, xem ra"
多くもらっちゃった,Nhận thêm
お金が 持ち切れないみたい,Túi vàng đã đầy
聖地に 預けておいたから,Đã gửi Thánh địa
聖地で 引き落としてね,Rút tại Thánh địa
勝利者,Kẻ thắng trận
退け,Lui!
小賢しい,Xảo trá
大不幸,Đại bất hạnh
大幸運,Đại vận may
魔王のきょうふ,Ma uy
魔王の気まぐれ,Ma vương biến ý
魔王のゆうわく,Ma vương mê hoặc
時の神のいたず,Thần Thời
運の神の休息,Thần Vận nghỉ
