japanese,vi_full,vi_runtime_historical,status,note
「バトルカード」,“Thẻ Chiến Đấu”,Thẻ đấu,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「ふみたおし」,“Quỵt Phí”,Quỵt nợ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「氷の女神のくちづけ」,“Nụ Hôn của Nữ Thần Băng”,Nụ hôn Băng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「時の神のいたずら」,“Trò Nghịch của Thần Thời Gian”,Trò Thần Thời,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
「ルート変更」,“Đổi Tuyến Đường”,Đổi lộ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
土地マスを無効にできるよ,Có thể vô hiệu hóa các ô Đất.,Vô hiệu lãnh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect"
１ターンのあいだ自分の番だけ、,"Trong 1 lượt, chỉ trong lượt của mình,","Riêng 1 lượt,",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
特殊マスが効かなくなっちゃう,Các ô Đặc biệt sẽ mất tác dụng.,Vô hiệu ô đặc biệt,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect"
氷の女神のくちづけでしばらく,Nhờ nụ hôn của Nữ Thần Băng, trong một thời gian...,Nữ thần Băng nguyền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
いたずら好きの時の神がみんなの場所,Thần Thời Gian tinh nghịch sẽ lấy vị trí của mọi người...,Thần Thời hoán vị,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
全ての分岐マスを切りかえて、,"Chuyển tất cả các ô ngã rẽ,","Đổi mọi ngã rẽ,",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
死神のシンボルを建てると、,"Khi xây Biểu tượng Tử Thần,",Dựng tượng Tử thần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
沼のシンボルを建てれば、,"Nếu xây Biểu tượng Đầm Lầy,",Dựng Đầm nguyền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
サーカスのシンボルを建てると、,"Khi xây Biểu tượng Rạp Xiếc,",Dựng Gánh xiếc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
大聖堂のシンボルを建てると、,"Khi xây Biểu tượng Đại Thánh Đường,",Dựng Thánh đường,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
女神のシンボルを建てると、,"Khi xây Biểu tượng Nữ Thần,",Dựng tượng Nữ thần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
温泉のシンボルを建てると、,"Khi xây Biểu tượng Suối Nước Nóng,",Dựng Linh tuyền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
はかばのシンボルを建てると、,"Khi xây Biểu tượng Nghĩa Địa,",Dựng Nghĩa địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
塔のシンボルを建てると、,"Khi xây Biểu tượng Tháp,",Dựng Ma tháp,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Nguồn chỉ ghi 塔; không tự thêm 悪魔"
邪神のシンボルを建てると、,"Khi xây Biểu tượng Tà Thần,",Dựng tượng Tà thần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
