japanese,vi_full,vi_runtime_historical,status,note
売却,Bán,Bán,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Property command"
抵当,Thế Chấp,Thế chấp,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mortgage command"
４倍にするよ！,Tăng lên gấp 4!,Tăng x4!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ hệ số x4"
通行税を,Phí qua đường...,Lộ phí,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
武器カードを,Thẻ Vũ khí...,Thẻ VK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
イベントカードを,Thẻ Sự kiện...,Thẻ SK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
自分が止まると,Khi chính bạn dừng lại...,Khi ngươi dừng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
ことがあるよ！,...có thể xảy ra!,Có thể xảy ra!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
戦いをさけられる,Có thể tránh giao chiến...,Tránh được chiến,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
建てれば、その土地の,"Nếu xây, mảnh đất đó...","Nếu dựng, lãnh địa",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
ことができるよ！,...có thể thực hiện được!,Có thể thực hiện!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
して戦闘をしかける,...rồi phát động trận chiến.,rồi phát động tỉ thí,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
あいての体力をひくく,Làm giảm HP của đối thủ...,Giảm HP địch thủ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
くれるよ！,...sẽ giúp bạn!,sẽ ban cho!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
すると体力を回復して,Khi đó sẽ hồi HP và...,sẽ hồi HP,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
