japanese,vi_fantasy
防御　速度７　使い捨て,Thủ tốc7 1 lần
みがわり,Thế thân
封いんされた魔法,Ma pháp phong ấn
ダークメテオ,Ám thiên thạch
伝説の聖剣,Thánh kiếm
エクスカリバー,Excalibur
死亡するとＨＰ１００で復活,Hồi sinh 100HP
復活の霊薬,Linh dược hồi sinh
最強の魔法,Đại ma pháp
メテオフォール,Thiên thạch
最強の弓,Thần cung
ほのおの弓,Cung Hỏa
最強の魔剣,Ma kiếm tối thượng
魔剣ムラマサ,Muramasa
あいての命中率を落とす,Giảm chuẩn địch
まどわしの玉,Ngọc mê hoặc
指定武器カード１枚を盗む,Cướp 1 thẻ VK
盗賊のオーブ,Ngọc Đạo tặc
アースクエイク,Động đất
ストームソード,Kiếm Bão
攻撃力を２倍にアップさせる,Công lực x2
力の指輪,Nhẫn Sức mạnh
ＨＰを６０回復する,Hồi 60HP
いやしのうた,Khúc Hồi sinh
フェザーレイ,Feather Ray
ダメージの１／２を奪う,Hút nửa sát thương
ブラッドスピア,Huyết thương
アイテムを使えなくする,Phong ấn vật phẩm
使い捨てアイテム,Vật phẩm 1 lần
アイテム封じ,Ấn phong vật phẩm
クリティカルがでやすい,Dễ chí mạng
スノーストーム,Bão Tuyết
速度が速い,Tốc độ cao
せつなの剣,Kiếm Chớp
ダメージを１／２にへらす,Giảm nửa sát thương
使い捨て防御アイテム,Đồ thủ 1 lần
シールド,Khiên
ＨＰを３０回復する,Hồi 30HP
使い捨て回復アイテム,Đồ hồi 1 lần
ファイアボール,Cầu lửa
バトルアックス,Rìu chiến
基本武器,Vũ khí thường
ダメージ,Sát thương
武器破壊,Phá vũ khí
ランダム武器破壊,Phá VK ngẫu nhiên
指定武器破壊,Phá VK chỉ định
指定武器取得,Lấy VK chỉ định
お店破壊,Phá tiệm
カード交換,Đổi thẻ
れん金術,Giả kim thuật
病院,Y viện
騎士団,Đoàn Hiệp sĩ
修道会,Tu viện
武器屋,Tiệm vũ khí
やったー！！,Tuyệt!
このエリアはあなたのものよ！！,Lãnh địa thuộc về ngươi!
このエリアはあなたたちのものよ！！,Lãnh địa thuộc về các ngươi!
土地の資産価値もどーんとアップ！,Giá đất tăng vọt!
土地の持ち主が変わったよ,Lãnh địa đổi chủ
体力が０になったから、ちりょうひ,"HP cạn, nộp viện phí"
２００ゼニーをもらうわよ！,Nhận 200 Z!
何がおこるのかな,Điềm gì sắp tới?
２枚まで交換できるよ！,Đổi tối đa 2 thẻ!
大チャンス！ライバルと武器カードを,Cơ hội! Đổi thẻ VK
「カード交換」,Đổi thẻ
壊してくれるわよ,Sẽ phá giúp
えらんだエリアのお店を魔王が全部,Ma vương phá tiệm vùng
「お店破壊」,Phá tiệm
６マス進めるよ,Tiến 6 ô
５マス進めるよ,Tiến 5 ô
４マス進めるよ,Tiến 4 ô
死神のシンボルを建てると、,Dựng tượng Tử thần
沼のシンボルを建てれば、,Dựng Đầm nguyền
サーカスのシンボルを建てると、,Dựng Gánh xiếc
大聖堂のシンボルを建てると、,Dựng Thánh đường
庭園のシンボルを建てると、,Dựng Vườn
女神のシンボルを建てると、,Dựng tượng Nữ thần
温泉のシンボルを建てると、,Dựng Linh tuyền
はかばのシンボルを建てると、,Dựng Nghĩa địa
塔のシンボルを建てると、,Dựng Ma tháp
邪神のシンボルを建てると、,Dựng tượng Tà thần
邪魔なシンボルを壊せるよ！,Phá 1 thần tượng
このカードを使うと、,"Dùng thẻ này,"
戦闘をしかけることができるよ！,Được quyền tỉ thí!
このカードを使えば、ライバルに,Dùng lên địch thủ
土地マスを無効にできるよ,Vô hiệu ô lãnh địa
特殊マスが効かなくなっちゃう,Vô hiệu ô đặc biệt
氷の女神のくちづけでしばらく,Nữ thần Băng nguyền
「氷の女神のくちづけ」,Nụ hôn Băng
いたずら好きの時の神がみんなの場所,Thần Thời hoán vị
「時の神のいたずら」,Trò Thần Thời
全ての分岐マスを切りかえて、,"Đổi mọi ngã rẽ,"
