file,offset_hex,japanese,vi_source_previous,vi_full_reviewed,status,note
PRGPACK.BDP,0x67c78,価値,Giá trị,Giá Trị,SOURCE_REVIEWED,"Nhãn tài sản"
PRGPACK.BDP,0x67c80,通行税,Phí qua đường,Phí Qua Đường,SOURCE_REVIEWED,"Nhãn tài sản"
PRGPACK.BDP,0x67c88,物件を決めたら、,"Khi đã chọn tài sản,","Sau khi chọn tài sản,...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng dấu phẩy"
PRGPACK.BDP,0x67d50,そんな土地ないじゃない,Không có mảnh đất như vậy,Không có mảnh đất nào như thế.,SOURCE_REVIEWED,"Thông báo gameplay"
PRGPACK.BDP,0x67d68,%sを建てたよ,Đã xây %s,Đã xây %s.,SOURCE_REVIEWED,"Giữ token %s"
PRGPACK.BDP,0x67d78,%dゼニーはらってね,Trả %d Zenny,Hãy trả %d Zenny.,SOURCE_REVIEWED,"Giữ token %d"
PRGPACK.BDP,0x67d8c,/V%sさん/v,%s,/V%s/v,SOURCE_REVIEWED,"Giữ tag /V.../v và token %s; bỏ kính ngữ さん trong tiếng Việt"
PRGPACK.BDP,0x67d98,お金たりないじゃない！,Không đủ tiền!,Bạn không đủ tiền!,SOURCE_REVIEWED,"Thông báo thiếu tiền"
PRGPACK.BDP,0x67db0,不足金額： %dゼニー,Thiếu: %d Zenny,Số tiền còn thiếu: %d Zenny,SOURCE_REVIEWED,"Giữ token %d"
PRGPACK.BDP,0x67dc4,あーあぁ,Chán thật,Chán thật...,SOURCE_REVIEWED,"Thán từ thất vọng"
PRGPACK.BDP,0x67dec,%sさんの資産とカードが,Tài sản và thẻ của %s,"Tài sản và các lá bài của %s...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu; giữ token %s"
PRGPACK.BDP,0x67e04,%sさんのものになるよ,sẽ thuộc về %s,...sẽ thuộc về %s.,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu kết; giữ token %s"
PRGPACK.BDP,0x67edc,次の武器カードをもらったよ,Nhận thẻ vũ khí sau,Bạn nhận được Thẻ Vũ khí sau đây.,SOURCE_REVIEWED,"Thông báo nhận bài"
PRGPACK.BDP,0x67ef8,手持ちの武器カードがいっぱいだよ,Thẻ vũ khí đã đầy,Số Thẻ Vũ khí đang mang đã đầy.,SOURCE_REVIEWED,"Thông báo sức chứa"
PRGPACK.BDP,0x67f1c,なにか捨ててね,Hãy bỏ bớt một thẻ,Hãy bỏ bớt một lá nhé.,SOURCE_REVIEWED,"Quản lý bài"
PRGPACK.BDP,0x67f2c,次のイベントカードをもらったよ,Nhận thẻ sự kiện sau,Bạn nhận được Thẻ Sự Kiện sau đây.,SOURCE_REVIEWED,"Thông báo nhận bài"
PRGPACK.BDP,0x67f4c,手持ちのイベントカードがいっぱいで,Thẻ sự kiện đã đầy,"Số Thẻ Sự Kiện đang mang đã đầy, nên...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng で"
PRGPACK.BDP,0x67f94,「%s」を捨てて,Bỏ %s,Bỏ “%s”.,SOURCE_REVIEWED,"Giữ token %s"
PRGPACK.BDP,0x67fa4,「%s」を手に入れたよ,,Bạn nhận được “%s”.,SOURCE_REVIEWED,"Giữ token %s"
PRGPACK.BDP,0x67fbc,「%s」を,%s,“%s”...,SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng trợ từ を; giữ token %s"
PRGPACK.BDP,0x67fc8,あきらめたよ,Đã từ bỏ,Đã từ bỏ rồi.,SOURCE_REVIEWED,"Thông báo gameplay"
PRGPACK.BDP,0x67fd8,レベル５裏武器カード,Thẻ vũ khí ẩn cấp 5,Thẻ Vũ Khí Mặt Sau Cấp 5,SOURCE_REVIEWED,"裏 = mặt sau; không suy diễn thành ẩn"
PRGPACK.BDP,0x67ff0,レベル５表武器カード,Thẻ vũ khí cấp 5,Thẻ Vũ Khí Mặt Trước Cấp 5,SOURCE_REVIEWED,"表 = mặt trước"
PRGPACK.BDP,0x68024,表武器カード,Thẻ vũ khí,Thẻ Vũ Khí Mặt Trước,SOURCE_REVIEWED,"Giữ nghĩa 表"
PRGPACK.BDP,0x68088,そんな土地ないじゃない,Không có mảnh đất như vậy,Không có mảnh đất nào như thế.,SOURCE_REVIEWED,"Nguồn lặp"
PRGPACK.BDP,0x680a0,%sを売ったよ,Đã bán %s,Đã bán %s.,SOURCE_REVIEWED,"Giữ token %s"
PRGPACK.BDP,0x68698,もう１回行動できるよ！！,Được hành động thêm một lần!!,Bạn được hành động thêm một lần!!,SOURCE_REVIEWED,"Hiệu ứng lượt"
